"eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","mae_valid_mean","mae_valid_sd"
0.05,4,0.01,0.66,40,0.66,1000,137306758.370858,11391021.2300207
0.05,8,0.001,0.75,20,0.66,1000,137309935.260621,12565594.6762424
0.05,4,0.001,0.75,40,0.75,1000,137311578.715793,10916610.4142015
0.05,8,0,0.75,20,0.66,1000,137336338.822691,11792749.7725024
0.05,8,0.001,0.66,40,0.66,1000,137338227.377123,12745039.4986946
0.01,8,0.01,0.75,20,0.66,500,137356431.362366,11858969.2399513
0.05,4,0.1,0.66,40,0.66,1000,137381175.745027,11489187.7615079
0.05,8,0.001,0.66,40,0.75,1000,137439027.99043,11976232.0780957
0.05,8,0.001,0.75,20,0.75,1000,137443962.420202,12441669.0078025
0.05,4,0.01,0.66,40,0.75,1000,137458652.907703,10556742.4273345
0.05,4,0.001,0.75,20,0.75,1000,137497265.162513,11381633.6102062
0.05,4,0.1,0.75,40,0.66,1000,137520457.887325,11015608.9569038
0.05,4,0,0.66,40,0.75,1000,137521939.608349,10900390.2279168
0.01,8,0.01,0.75,20,0.75,500,137537118.6554,11976074.822872
0.05,8,0.001,0.75,40,0.75,1000,137540757.409924,11813997.9064054
0.05,8,0.01,0.66,40,0.66,1000,137543457.921977,11616613.4431875
0.01,8,0.001,0.75,20,0.75,500,137565435.233912,11766153.7499537
0.05,8,0,0.66,40,0.75,1000,137585326.573218,11948489.9732227
0.01,8,0,0.75,20,0.75,500,137591748.75377,11793688.365109
0.01,8,0,0.75,20,0.66,500,137601592.323585,12148137.2559519
0.01,8,0.1,0.75,20,0.75,500,137645506.681067,12025083.6591614
0.05,8,0.01,0.66,40,0.66,500,137646563.231839,12897291.2391426
0.01,8,0.001,0.75,20,0.66,500,137653826.611915,11940331.5231688
0.05,4,0.1,0.66,20,0.66,1000,137659106.437138,11545373.9914725
0.01,8,0,0.66,20,0.66,500,137667269.694085,12074601.5002146
0.05,8,0.01,0.66,40,0.75,1000,137684661.342656,11406476.3446153
0.05,8,0.01,0.75,40,0.75,1000,137711443.012245,12157788.8702312
0.01,8,0,0.75,40,0.66,500,137738855.692296,12074387.9689975
0.05,4,0,0.75,20,0.66,1000,137745600.030532,11421753.1169785
0.05,4,0.1,0.75,40,0.75,1000,137759508.960876,11081208.5862775
0.05,4,0.001,0.75,20,0.66,1000,137785961.601194,11800282.7951509
0.05,8,0,0.75,20,0.75,1000,137786706.781362,11881508.7429835
0.01,8,0,0.66,20,0.75,500,137805999.556726,12229842.449919
0.05,8,0,0.66,20,0.66,1000,137807894.255366,12423984.043474
0.01,8,0.01,0.75,40,0.75,500,137860931.010918,11931815.8765566
0.05,4,0.01,0.66,20,0.66,1000,137875251.536432,11272740.2587305
0.05,8,0.01,0.75,20,0.66,1000,137882321.163539,11784928.5921169
0.05,4,0.001,0.75,40,0.66,1000,137882820.496132,11782288.9786053
0.01,8,0,0.75,40,0.75,500,137885689.776745,12084416.8477437
0.01,8,0.1,0.75,40,0.75,500,137909241.862421,11655699.9341826
0.01,8,0,0.66,40,0.75,500,137922751.347509,11986899.2808273
0.01,8,0.1,0.66,20,0.66,500,137926894.606119,12277080.5164178
0.01,8,0.001,0.75,40,0.66,500,137949980.631595,12012773.6659941
0.05,4,0.001,0.66,40,0.75,1000,137958548.461505,11073442.7390769
0.01,8,0.001,0.66,20,0.75,500,137959153.040896,12304450.485304
0.05,4,0.1,0.75,20,0.66,500,137976220.709545,10992955.7740045
0.01,8,0.01,0.66,40,0.66,500,138004012.489936,12140101.3714778
0.05,8,0.01,0.75,40,0.66,1000,138010576.635506,11898658.9416188
0.05,4,0.01,0.75,40,0.66,1000,138034084.814386,11948775.1605565
0.05,4,0,0.75,20,0.66,500,138038902.520653,11008756.4625219
0.01,8,0.01,0.66,20,0.66,500,138057037.451518,12565724.0767168
0.05,4,0.1,0.66,40,0.75,1000,138059887.565002,11961105.9575305
0.05,4,0,0.75,40,0.66,1000,138070251.288833,11358744.8784157
0.01,8,0.001,0.66,20,0.66,500,138074001.158255,12571127.6075806
0.01,8,0.1,0.75,40,0.66,500,138102974.097041,11992095.408519
0.01,8,0.01,0.66,20,0.75,500,138134148.266225,12537224.7473864
0.01,8,0.001,0.75,40,0.75,500,138138258.081638,12178018.7497117
0.01,8,0.1,0.66,20,0.75,500,138140089.916334,12444972.8543243
0.05,4,0,0.66,40,0.66,1000,138155463.329287,11647436.3573333
0.05,4,0,0.66,40,0.66,500,138176727.750606,10832909.3258371
0.01,8,0.01,0.75,40,0.66,500,138195543.343968,11926622.4196854
0.05,4,0,0.75,40,0.75,500,138220215.984394,10504359.6500811
0.05,4,0,0.75,20,0.75,500,138302311.192589,10964795.2285082
0.01,8,0.1,0.66,40,0.75,500,138307778.101269,12219146.6035513
0.05,8,0.001,0.75,40,0.66,1000,138315422.331612,11416705.5394816
0.05,4,0.1,0.75,20,0.75,500,138333008.666392,11074486.1113504
