"eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","mae_valid_mean","mae_valid_sd"
0.05,4,0.001,0.75,20,0.75,1000,115777656.114064,939833.501720834
0.01,8,0,0.66,20,0.75,500,115908044.734149,831585.728438244
0.05,4,0,0.75,20,0.66,1000,115924653.22813,1106055.29226018
0.05,4,0.001,0.75,20,0.66,1000,115944846.914322,919165.230125366
0.05,4,0.1,0.75,20,0.66,1000,115955276.522604,948260.053765209
0.01,8,0.01,0.66,20,0.75,500,115968023.238199,825503.410796529
0.01,8,0.001,0.66,20,0.75,500,115974667.918702,852712.400938459
0.05,4,0.01,0.75,20,0.66,1000,116014351.935099,890215.501580121
0.05,4,0.001,0.66,20,0.75,1000,116041866.270414,1019498.27051199
0.01,8,0,0.75,20,0.75,500,116050494.149849,931043.577058288
0.01,8,0.01,0.75,20,0.75,500,116062847.00946,920196.346970854
0.05,4,0.01,0.66,20,0.75,1000,116075167.640757,998037.404554836
0.01,8,0.001,0.75,20,0.75,500,116101926.021668,946778.1508586
0.01,8,0.1,0.75,20,0.75,500,116141415.79193,844661.582020686
0.05,4,0.1,0.75,20,0.75,1000,116149579.20657,985229.645315467
0.05,4,0,0.66,20,0.75,1000,116180466.144802,907389.419199592
0.05,4,0.001,0.66,20,0.66,1000,116207561.096418,928518.059486359
0.05,4,0,0.66,20,0.66,1000,116233108.478184,908101.62516008
0.01,8,0.1,0.66,20,0.75,500,116262004.034086,975750.080568083
0.05,4,0.01,0.75,40,0.75,1000,116275881.404566,1133787.14756285
0.05,4,0.1,0.66,20,0.66,1000,116296678.896318,927154.664953818
0.05,4,0.01,0.66,20,0.66,1000,116376481.040218,906188.803566501
0.01,8,0,0.66,20,0.66,500,116448640.909634,733317.717395131
0.05,4,0.1,0.66,20,0.75,1000,116448795.812473,1155057.47423041
0.05,4,0,0.75,40,0.75,1000,116448869.061234,974489.347651082
0.01,8,0.01,0.75,20,0.66,500,116469004.982842,741775.534227842
0.01,8,0.01,0.66,20,0.66,500,116473698.857824,855314.338857392
0.05,4,0.1,0.75,40,0.66,1000,116476373.23171,1135990.00693081
0.01,8,0.001,0.75,20,0.66,500,116485094.878003,860353.734741258
0.05,4,0.001,0.75,40,0.66,1000,116490460.080559,971845.458873373
0.01,8,0.1,0.75,20,0.66,500,116494494.02275,767786.151502153
0.01,8,0,0.75,20,0.66,500,116500360.403011,942450.569216636
0.01,8,0.001,0.66,20,0.66,500,116523023.851613,673971.161250463
0.05,4,0.001,0.75,40,0.75,1000,116524783.806516,917962.113409622
0.05,4,0,0.75,40,0.66,1000,116527781.045166,1015668.63831773
0.05,4,0.001,0.66,40,0.75,1000,116549554.629513,883161.391945606
0.05,4,0.01,0.66,40,0.75,1000,116575154.888219,1057047.80014933
0.05,4,0.1,0.75,40,0.75,1000,116581458.634225,941739.240932763
0.01,8,0.1,0.66,20,0.66,500,116584056.131415,755945.500172706
0.05,4,0.01,0.75,40,0.66,1000,116683093.079674,749102.148322795
0.05,4,0.01,0.66,40,0.66,1000,116778630.973205,1094171.12777936
0.05,4,0,0.66,40,0.75,1000,116792460.596973,1202939.13462587
0.05,4,0.1,0.66,40,0.75,1000,116860523.901411,1111263.86827972
0.05,4,0.1,0.66,40,0.66,1000,116882318.641091,1008113.78147771
0.05,4,0.001,0.66,40,0.66,1000,116929779.105671,1068853.20248779
0.05,4,0,0.66,40,0.66,1000,116983772.250669,979512.121147248
0.01,8,0.001,0.66,40,0.75,500,117786371.996166,821755.203772216
0.01,8,0.01,0.66,40,0.75,500,117852480.471377,710899.082944005
0.01,8,0.001,0.75,40,0.75,500,117866275.543841,887595.668379029
0.01,8,0,0.66,40,0.75,500,117937278.149908,876670.248923334
0.01,8,0,0.75,40,0.75,500,117950231.153258,792417.402763496
0.01,8,0.01,0.75,40,0.75,500,117968413.275323,841145.856524523
0.01,8,0.1,0.75,40,0.75,500,118020575.260395,745118.074251729
0.01,8,0.1,0.66,40,0.75,500,118045300.951503,928608.687477861
0.01,8,0,0.66,40,0.66,500,118360317.600812,793344.721114281
0.01,8,0,0.75,40,0.66,500,118389981.259454,943955.093708582
0.01,8,0.01,0.75,40,0.66,500,118415662.792061,987191.060223791
0.01,8,0.001,0.66,40,0.66,500,118459386.218826,756414.44665689
0.01,8,0.001,0.75,40,0.66,500,118478631.62318,885712.974372515
0.01,8,0.1,0.66,40,0.66,500,118489842.145496,1047288.68972469
0.01,8,0.01,0.66,40,0.66,500,118505859.458028,886325.666102325
0.01,8,0.1,0.75,40,0.66,500,118513514.352846,878680.253387711
0.05,4,0.1,0.75,20,0.75,500,121862497.560121,960223.035060608
0.05,4,0.01,0.75,20,0.75,500,121892180.79789,950900.877753564
0.05,4,0.01,0.75,20,0.66,500,121955372.396615,1045363.50773746
0.05,4,0,0.75,20,0.75,500,121970613.297115,1264827.37954219
0.05,4,0.001,0.75,20,0.75,500,121984710.335886,1038327.35353355
0.05,4,0.1,0.75,20,0.66,500,122015155.29266,1159898.45197262
0.05,4,0,0.75,20,0.66,500,122027881.504592,1137183.81788102
0.05,4,0.001,0.75,20,0.66,500,122039114.839124,1038753.76738815
0.05,4,0.01,0.66,20,0.75,500,122143086.247687,1349471.65764418
0.05,4,0.001,0.66,20,0.75,500,122147230.583918,1076036.12250029
0.05,4,0.1,0.75,40,0.75,500,122234869.91315,1119786.97391764
0.05,4,0.01,0.75,40,0.66,500,122249880.048651,968136.244961527
0.05,4,0,0.66,20,0.75,500,122285165.005421,1041120.03123301
0.05,4,0,0.66,20,0.66,500,122286108.402474,1141482.01570061
0.05,4,0.001,0.75,40,0.75,500,122340462.692115,1060194.37971068
0.05,4,0,0.75,40,0.66,500,122342026.436518,1118391.9600588
0.05,4,0,0.75,40,0.75,500,122343289.157122,1218068.50006262
0.05,4,0.01,0.75,40,0.75,500,122361945.618049,1227521.70100369
0.05,4,0.001,0.75,40,0.66,500,122394710.741882,1242816.86147795
0.05,4,0.01,0.66,20,0.66,500,122419036.790256,1201682.54346224
0.05,4,0.001,0.66,20,0.66,500,122492384.280183,1230188.95364939
0.05,4,0,0.66,40,0.75,500,122502724.498925,1228732.94747139
0.05,4,0.1,0.66,20,0.75,500,122511895.888542,992936.493165729
0.05,4,0.001,0.66,40,0.75,500,122515650.192674,1168115.20487908
0.05,4,0.1,0.75,40,0.66,500,122574117.465426,1194825.15369117
0.05,4,0.01,0.66,40,0.75,500,122576304.81374,1000444.00210274
0.05,4,0.01,0.66,40,0.66,500,122583936.570222,1172345.46969769
